DugumId,Isim,Ozellik_I (Aktiflik),Ozellik_II (Etkileşim),Ozellik_III (Bagl. Sayisi),Komsular
67,Süleyman Doğan,0.56,0.13,1,65
68,Şerife Özdemir,0.18,0.69,2,"65,70"
69,Şerife Kurt,0.39,0.51,4,"62,63,64,81"
70,Zeynep Çelik,0.22,0.89,4,"57,64,66,68"
71,Sultan Aydın,0.88,0.21,3,"72,76,83"
72,Elif Özdemir,0.56,0.19,3,"71,80,81"
73,İbrahim Arslan,0.74,0.9,6,"74,75,78,79,81,84"
74,Osman Aslan,0.79,0.13,5,"73,78,79,80,60"
75,Hatice Özkan,0.25,0.33,3,"73,79,90"
76,Şerife Kılıç,0.17,0.18,1,71
77,Süleyman Demir,0.61,0.79,2,"78,79"
78,İbrahim Yılmaz,0.8,0.57,4,"73,74,77,80"
79,Ramazan Özkan,0.15,0.94,5,"73,74,75,77,84"
80,Ömer Yılmaz,0.6,0.19,4,"72,74,78,97"
81,Elif Aydın,0.78,0.24,4,"72,73,83,69"
82,Hüseyin Aydın,0.41,0.65,1,84
83,Mehmet Arslan,0.61,0.12,3,"71,81,84"
84,Zehra Aydın,0.74,0.71,4,"73,79,82,83"
85,Hatice Arslan,0.69,0.62,6,"87,89,91,92,97,100"
86,Hüseyin Kurt,0.2,0.72,1,91
87,Fatma Doğan,0.38,0.23,4,"85,91,93,99"
88,Osman Aydın,0.65,0.83,4,"90,91,94,95"
89,Süleyman Yılmaz,0.82,0.45,4,"85,90,94,98"
90,Emine Çetin,0.79,0.2,6,"88,89,91,95,96,75"
91,Hanife Yıldız,0.37,0.89,8,"85,86,87,88,90,95,97,99"
92,Hatice Öztürk,0.1,0.64,1,85
93,Osman Yıldırım,0.69,0.88,1,87
94,Zeliha Kurt,0.2,0.66,3,"88,89,96"
95,Zeliha Aydın,0.54,0.28,5,"88,90,91,96,97"
96,Fatma Kara,0.53,0.18,3,"90,94,95"
97,Şerife Yılmaz,0.3,0.88,5,"85,91,95,98,80"
98,Zeliha Doğan,0.15,0.39,3,"89,97,99"
99,Ömer Yıldız,0.37,0.8,4,"87,91,98,100"
100,Hatice Aydın,0.66,0.13,2,"85,99"
